trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,textbox.started,textbox2.started,scoreboard.started,key_resp.started,textbox_3.started,key_resp.keys,key_resp.rt,txt1.started,txt2.started,textbox_2.started,txt1.stopped,txt2.stopped,textbox_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,23.74397820001468,23.74397820001468,space,7.367530700052157,,,,,,,,,,,,,,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
0,0,0,0,,,,,31.33790099993348,31.33790099993348,31.33790099993348,32.12689039995894,32.12689039995894,left,0.32941599981859326,32.977237300015986,32.977237300015986,32.977237300015986,,,,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
1,0,1,0,,,,,36.063197599956766,36.063197599956766,36.00660800002515,36.96401280001737,36.96401280001737,right,0.7404803999233991,38.2149501000531,38.2149501000531,38.2149501000531,41.24651449988596,41.24651449988596,41.24651449988596,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
2,0,2,0,,,,,41.317636399995536,41.317636399995536,41.24651449988596,42.21879639988765,42.21879639988765,left,0.04677440016530454,42.76902549993247,42.76902549993247,42.76902549993247,45.7713184999302,45.7713184999302,45.7713184999302,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
3,0,3,0,,,,,45.87165250000544,45.87165250000544,45.7713184999302,46.77227559988387,46.77227559988387,left,0.0032137001398950815,47.306008900050074,47.306008900050074,47.306008900050074,,,,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
4,0,4,0,,,,,50.391688799951226,50.391688799951226,50.30863339989446,51.2927292000968,51.2927292000968,left,0.795014499919489,52.61045620008372,52.61045620008372,52.61045620008372,,,,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
5,0,5,0,,,,,55.69667709991336,55.69667709991336,55.6130480999127,56.59720279998146,56.59720279998146,right,0.3073865999467671,57.414152699988335,57.414152699988335,57.414152699988335,60.416899299947545,60.416899299947545,60.416899299947545,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
6,0,6,0,,,,,60.51691589993425,60.51691589993425,60.416899299947545,61.417766199912876,61.417766199912876,left,1.1671764999628067,63.102350800065324,63.102350800065324,63.102350800065324,,,,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
7,0,7,0,,,,,66.18802369991317,66.18802369991317,66.10481190006249,67.08921679994091,67.08921679994091,left,0.2632657000795007,67.87282749987207,67.87282749987207,67.87282749987207,,,,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
8,0,8,0,,,,,70.95889259991236,70.95889259991236,70.94070909987204,71.85976899997331,71.85976899997331,left,0.8037825000938028,73.17733710003085,73.17733710003085,73.17733710003085,76.18145109992474,76.18145109992474,76.18145109992474,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
9,0,9,0,,,,,76.28183329990134,76.28183329990134,76.18145109992474,77.18064630008303,77.18064630008303,left,0.1551451999694109,77.84782520006411,77.84782520006411,77.84782520006411,80.85061299987137,80.85061299987137,80.85061299987137,1,001,2023-03-23_13h53.05.125,feedback3,2022.2.5,59.54674205425724,
