Words,Problems
Across,5+3
Against,9+4
Area,12+6
Become,25+13
Best,32+14
Better,9+7
Birds,9+9
Black,17+9
Body,50+2
Certain,65+4
Cold,7+6
Color,41+28
Complete,56+11
Covered,63+7
Cried,29+18
Didn't,8-5
Dog,15-7
Door,22-9 
Draw,36-14
During,40-25
Early,55-19
Easy,75-30
Ever,68-20
Fall,30-12
Farm,80-40
Fast,20-60
Field,2x2
Figure,3x1
Fire,5x3
Fish,4x3
Five,2x5
Friends,3x3
Ground,0x6
Happened,1x7
Heard,6x2
Self,2x9
Hold,7x3
Horse,4x8
Hours,6/2
Hundred,12/3
I'll,10/2
King,8/4
Knew,15/3
Listen,20/4
Low,2/2
Math,60/10
Mark,45/9
Measure,7x7
Money,35/5
Morning,2/2
