timestamps,TP9,Fp1,Fp2,TP10,stim
1676922178.4306118,-20.5078125,9.765625,-30.76171875,-22.94921875,0.0
1676922178.4332697,-8.7890625,-13.671875,-30.2734375,-46.875,0.0
1676922178.4359274,-18.06640625,-51.26953125,-40.52734375,-24.4140625,0.0
1676922178.4385853,-21.97265625,-60.546875,-49.31640625,-14.16015625,0.0
1676922178.442315,0.48828125,-30.76171875,-44.921875,-35.15625,0.0
1676922178.446045,2.44140625,-16.6015625,-34.1796875,-47.36328125,0.0
1676922178.4497745,-6.34765625,-19.53125,-37.59765625,-38.57421875,0.0
1676922178.4535043,-14.6484375,-16.6015625,-26.85546875,-8.7890625,0.0
1676922178.4572341,-24.90234375,-10.25390625,-26.85546875,3.90625,0.0
1676922178.4609637,-40.52734375,-32.2265625,-41.015625,-26.3671875,0.0
1676922178.4646935,-39.0625,-48.828125,-20.99609375,-9.765625,0.0
1676922178.4684234,-47.8515625,-35.15625,-27.34375,1.953125,0.0
1676922178.4721532,-56.640625,-31.25,-33.203125,-43.45703125,0.0
1676922178.475883,-38.57421875,-39.55078125,-25.390625,-56.640625,0.0
1676922178.4796126,-25.87890625,-12.20703125,-28.3203125,-41.015625,0.0
1676922178.4833424,-12.20703125,4.8828125,-33.69140625,-27.34375,0.0
1676922178.4869604,-30.76171875,-22.4609375,-40.0390625,-27.83203125,0.0
1676922178.4905782,-32.2265625,-36.1328125,-37.109375,-47.8515625,0.0
1676922178.4941962,-10.7421875,-33.203125,-29.78515625,-42.96875,0.0
1676922178.4978142,-20.01953125,-37.109375,-45.8984375,-22.94921875,0.0
1676922178.5014322,-48.828125,-40.52734375,-45.41015625,-22.94921875,0.0
1676922178.5050502,-35.15625,-35.64453125,-20.01953125,-15.625,0.0
1676922178.508668,-10.25390625,-27.34375,-0.9765625,-12.20703125,0.0
1676922178.512286,-18.5546875,-1.46484375,-4.8828125,-26.3671875,0.0
1676922178.515904,-22.94921875,-0.9765625,-32.2265625,-15.625,0.0
1676922178.5195217,-18.5546875,-26.3671875,-44.921875,-9.765625,0.0
1676922178.5231397,-12.6953125,-33.203125,-37.109375,-30.2734375,0.0
1676922178.5267577,-16.6015625,-34.66796875,-28.80859375,-22.94921875,0.0
1676922178.5317473,-25.390625,-45.8984375,-21.97265625,-5.37109375,0.0
1676922178.536737,-31.25,-36.1328125,-24.90234375,-12.20703125,0.0
1676922178.5417266,-37.59765625,-17.08984375,-22.94921875,-21.484375,0.0
1676922178.5467165,-20.99609375,-9.27734375,-11.23046875,-33.203125,0.0
1676922178.551706,-12.20703125,-17.08984375,-18.06640625,-25.390625,0.0
1676922178.5566957,-30.2734375,-33.203125,-21.97265625,-8.30078125,0.0
1676922178.5616853,-35.64453125,-38.57421875,-30.76171875,-20.5078125,0.0
1676922178.566675,-39.55078125,-44.43359375,-43.9453125,-37.59765625,0.0
1676922178.5716648,-25.87890625,-48.828125,-39.0625,-22.94921875,0.0
1676922178.5766544,-18.06640625,-41.015625,-40.52734375,-17.08984375,0.0
1676922178.581644,-30.2734375,-40.52734375,-46.875,-31.73828125,0.0
1676922178.5866337,-14.16015625,-34.1796875,-33.203125,-28.3203125,0.0
1676922178.5903964,-12.6953125,-45.41015625,-31.73828125,-11.71875,0.0
1676922178.5941591,-36.62109375,-67.3828125,-46.875,-6.8359375,0.0
1676922178.5979218,-31.25,-23.4375,-36.62109375,-16.11328125,0.0
1676922178.6016846,-12.20703125,-6.34765625,-30.2734375,-33.203125,0.0
1676922178.6054473,-13.18359375,-33.203125,-33.69140625,-49.8046875,0.0
