timestamps,TP9,Fp1,Fp2,TP10,stim
1676922788.962,-26.85546875,-47.8515625,-35.64453125,-1.953125,0.0
1676922788.96701,-19.53125,-37.59765625,-25.390625,-2.44140625,0.0
1676922788.97202,-17.578125,-22.94921875,-26.85546875,-26.3671875,0.0
1676922788.97703,-53.7109375,-9.765625,-34.1796875,-36.1328125,0.0
1676922788.9796386,-42.48046875,-17.578125,-38.0859375,-14.16015625,0.0
1676922788.9822469,-2.9296875,-46.875,-41.9921875,-6.34765625,0.0
1676922788.9848554,-16.6015625,-35.15625,-30.76171875,-22.4609375,0.0
1676922788.987464,-20.01953125,-40.52734375,-31.73828125,-43.9453125,0.0
1676922788.9900723,-17.578125,-49.31640625,-39.55078125,-20.99609375,0.0
1676922788.9926808,-9.765625,-52.734375,-50.78125,5.37109375,0.0
1676922788.9952893,-12.20703125,-52.734375,-61.03515625,-12.20703125,0.0
1676922788.9978976,-14.16015625,-41.9921875,-51.7578125,-30.2734375,0.0
1676922789.0005062,-13.18359375,-46.875,-37.59765625,-27.83203125,0.0
1676922789.0031147,-14.6484375,-38.57421875,-39.0625,-2.9296875,0.0
1676922789.005723,-34.66796875,-31.73828125,-58.10546875,-9.765625,0.0
1676922789.0083315,-43.45703125,-29.78515625,-50.78125,-43.45703125,0.0
1676922789.0119867,-23.4375,-23.92578125,-47.8515625,-50.78125,0.0
1676922789.0156422,-9.27734375,-36.1328125,-36.62109375,-6.34765625,0.0
1676922789.0192974,-3.90625,-55.17578125,-46.38671875,7.32421875,0.0
1676922789.0229526,-8.7890625,-47.36328125,-61.5234375,-16.6015625,0.0
1676922789.026608,-23.4375,-27.34375,-38.57421875,-32.71484375,0.0
1676922789.0302632,-17.578125,-27.34375,-27.83203125,-14.16015625,0.0
1676922789.0339184,-11.23046875,-36.1328125,-44.43359375,9.765625,0.0
1676922789.0375738,-33.69140625,-46.38671875,-55.17578125,-29.78515625,0.0
1676922789.041229,-26.85546875,-40.0390625,-47.36328125,-49.31640625,0.0
1676922789.0448842,-13.671875,-32.2265625,-38.0859375,-23.4375,0.0
1676922789.0485396,-20.99609375,-49.31640625,-45.8984375,-13.671875,0.0
1676922789.0521948,-19.53125,-85.9375,-35.15625,-19.53125,0.0
1676922789.0571895,-22.94921875,-78.125,-34.66796875,-49.8046875,0.0
1676922789.062184,-22.94921875,-18.5546875,-47.36328125,-45.41015625,0.0
1676922789.0671787,-23.4375,-9.765625,-40.0390625,-6.34765625,0.0
1676922789.0721734,-45.41015625,-35.15625,-50.29296875,-20.99609375,0.0
1676922789.077168,-35.15625,-39.0625,-47.8515625,-41.50390625,0.0
1676922789.0821626,-6.8359375,-37.109375,-34.1796875,-41.015625,0.0
1676922789.0871572,-7.32421875,-43.45703125,-30.76171875,-13.18359375,0.0
1676922789.0921519,-14.16015625,-44.43359375,-35.64453125,-0.48828125,0.0
1676922789.0971465,-20.99609375,-33.203125,-41.9921875,-30.76171875,0.0
1676922789.1021411,-23.92578125,-41.9921875,-53.7109375,-40.0390625,0.0
1676922789.1071358,-21.97265625,-45.41015625,-44.921875,-24.4140625,0.0
1676922789.1121304,-47.8515625,-50.29296875,-35.15625,-24.4140625,0.0
1676922789.1158693,-50.78125,-66.89453125,-31.73828125,-30.76171875,0.0
1676922789.119608,-18.5546875,-41.50390625,-10.7421875,-42.96875,0.0
1676922789.1233468,-19.04296875,-23.92578125,-18.5546875,-25.390625,0.0
1676922789.1270857,-32.2265625,-37.109375,-42.96875,-4.8828125,0.0
1676922789.1308243,-41.015625,-39.55078125,-48.828125,-36.1328125,0.0
1676922789.1345632,-37.109375,-36.62109375,-50.29296875,-61.5234375,0.0
1676922789.138302,-29.296875,-41.015625,-40.0390625,-43.9453125,0.0
1676922789.1420407,-32.71484375,-45.41015625,-28.80859375,-20.5078125,0.0
1676922789.1457796,-25.87890625,-41.50390625,-37.59765625,-10.7421875,0.0
